,Colegio,colegio_id
554,liceo abate molina,554
555,liceo academia nacional,555
556,liceo adultos estacion central,556
557,liceo adventista,557
558,liceo agropecuario likan antai,558
559,liceo agustin edwards,559
560,liceo agustin ross edwards,560
561,liceo aleman de santiago,561
562,liceo aleman del verbo divino,562
563,liceo alexander fleming,563
564,liceo almirante galvarino riveros,564
565,liceo almirante pedro espina r.,565
566,liceo alto cordillera,566
567,liceo alto jahuel,567
568,liceo amanda labarca ,568
569,liceo andres bello,569
570,liceo andres sabella,570
571,liceo antonio hermida fabres,571
572,liceo antonio samore,572
573,liceo armando robles rivera,573
574,liceo augusto dhalmar,574
575,liceo augusto santelices v.,575
576,liceo austral lord cochrane,576
577,liceo avenida recoleta,577
578,liceo b-42 tajamar,578
579,liceo benjamin vicuña mackenna,579
580,liceo bicentenario de excelencia nacional,580
581,liceo bicentenario de niñas,581
582,liceo bicentenario de talagante,582
583,liceo bicentenario italia,583
584,liceo bicentenario oriente de talca,584
585,liceo bicentenario polivalente san nicolas,585
586,liceo bicentenario san pedro,586
587,liceo bicentenario teresa prats,587
588,liceo camilo henriquez,588
589,liceo capitan ignacio carrera pinto,589
590,liceo carmela carvajal de prat,590
591,liceo carmela silva donoso,591
592,liceo christa mc auliffe,592
593,liceo cient. hum. benjamin vicuña mackenna,593
594,liceo com. femenino de concepcion,594
595,liceo com. instituto sup. de comercio de chile,595
596,liceo comercial,596
597,liceo comercial ,597
598,liceo comercial b-72,598
599,liceo comercial diego de almagro,599
600,liceo comercial gabriel gonzalez videla,600
601,liceo comercial javiera y jose luis carrera,601
602,liceo comercial joaquin vera morales,602
603,liceo comercial jorge alessandri r.,603
604,liceo comercial luis correa prieto,604
605,liceo comercial molina lavin,605
606,liceo confederacion suiza,606
607,liceo coronel antonio salamanca,607
608,liceo dario salas,608
609,liceo de adultos fermin vivaceta,609
610,liceo de aplicacion rector jorge e schne,610
611,liceo de cs. y hum. san jose maria escriva de b.,611
612,liceo de hombres manuel montt,612
613,liceo de limache,613
614,liceo de ninas maria franck de m.,614
615,liceo de niñas,615
616,liceo de zapallar,616
617,liceo doctro roberto humeres,617
618,liceo domingo latrille l.,618
619,liceo domingo santa maria,619
620,liceo eleuterio ramirez molina,620
621,liceo elvira brady maldonado,621
622,liceo elvira sanchez de garces,622
623,liceo enrique molina garmendia,623
624,liceo esmeralda,624
625,liceo eugenio maria de hostos,625
626,liceo experimental artistico,626
627,liceo experimental manuel de salas,627
628,liceo experimental umag,628
629,liceo federico heise marti,629
630,liceo federico varela,630
631,liceo gabriela mistral,631
632,liceo galvarino riveros cardenas,632
633,liceo gregorio cordovez,633
634,liceo guillermo marin larrain,634
635,liceo hum. cientifico jose de la cruz miranda,635
636,liceo indira gandhi,636
637,liceo industrial a-116,637
638,liceo industrial a-27,638
639,liceo industrial alberto widmer,639
640,liceo industrial benjamin franklin,640
641,liceo industrial chileno aleman,641
642,liceo industrial de minas ignacio domey,642
643,liceo industrial domingo matte perez,643
644,liceo industrial eliodoro garcia zegers,644
645,liceo industrial eulogio gordo moneo,645
646,liceo instituto nacional,646
647,liceo insular ,647
648,liceo isaura dinator de guzman,648
649,liceo jan comenius,649
650,liceo jose cortes brown,650
651,liceo jose cortes brown-recreo,651
652,liceo jose domingo cañas,652
653,liceo jose miguel carrera,653
654,liceo jose miguel infante,654
655,liceo jose toribio medina,655
656,liceo jose victorino lastarria,656
657,liceo juan agustin morales g.,657
658,liceo juan cortes-monroy cortes,658
659,liceo la asuncion,659
660,liceo las americas,660
661,liceo laura vicuña,661
662,liceo lenka franulic,662
663,liceo leonardo murialdo,663
664,liceo lonquen,664
665,liceo luis cruz martinez,665
666,liceo luisa rabanal de palma,666
667,liceo madre cecilia lazzeri,667
668,liceo maria auxiliadora,668
669,liceo maria luisa bombal,669
670,liceo marta donoso espejo,670
671,liceo mater purissima,671
672,liceo maximiliano salas marchan,672
673,liceo miguel de cervantes y saavedra,673
674,liceo miguel rafael prado,674
675,liceo monsenor enrique alvear,675
676,liceo municipal enrique backausse,676
677,liceo municipal oscar castro z.,677
678,liceo municipal purkuyen,678
679,liceo nacional,679
680,liceo nacional bicentenario de excelencia,680
681,liceo nuestra señora de las mercedes,681
682,liceo nuestra sra. de la paz,682
683,liceo nueva zelandia,683
684,liceo nº1 javiera carrera,684
685,liceo nº7 de niñas,685
686,liceo octavio palma perez,686
687,liceo oriente,687
688,liceo osorno college,688
689,liceo pablo neruda,689
690,liceo parroquial san antonio,690
691,liceo paul harris,691
692,liceo paula jaraquemada,692
693,liceo politecnico,693
694,liceo politecnico andes,694
695,liceo politecnico cesareo aguirre g.,695
696,liceo politecnico hannover,696
697,liceo politecnico heroes de la concepcion,697
698,liceo politecnico pedro de valdivia,698
699,liceo politecnico rosauro santana rios,699
700,liceo politecnico san luis,700
701,liceo politecnico sara blinder dargoltz,701
702,liceo politecnico tomas marin de poveda,702
703,liceo poliv. abdon cifuentes,703
704,liceo polivalente,704
705,liceo polivalente a-28 emilia toro de balmaceda,705
706,liceo polivalente arturo alessandri,706
707,liceo polivalente de tome-alto,707
708,liceo polivalente doctor luis vargas s.,708
709,liceo polivalente fidel pinochet,709
710,liceo polivalente francisco frias v.,710
711,liceo polivalente juan a. rios,711
712,liceo polivalente libertador gral jose de san martin,712
713,liceo polivalente los guindos,713
