Colegio,lat,lon
gladys lazo/ stgo,-33.4469805,-70.644114
liceo teniente dagoberto godoy/ lo prado,-33.4512017,-70.7140295
saint joseph school/ huechuraba,-33.3537637,-70.6664774
santa ursula/ maipu,-33.5256469,-70.7739392
the newland school/ lo barnechea,-33.3609903,-70.5343678
san benito/ vitacura,-33.3713948,-70.5808906
el carmen teresiano/ la reina,-33.4393072,-70.5478617
carmen teresiano i/ vitacura,-33.379594,-70.5705772
altazor / pte. alto,-33.5819309,-70.5876146
trebulco/ talagante,-33.6794509,-70.9498365
nuestra señora del camino/ la reina,-33.4451654,-70.5524224
akros / ñuñoa,-33.4551968,-70.5891055
chileno norteamericano/ puerto montt,-41.4538432,-72.9115136
polivalente san bernardo abad/ san bernardo,-33.5932995,-70.6767859
san ignacio alonso ovalle/ santiago,-33.4474982,-70.6560442
maria inmaculada/ providencia,-33.4334201,-70.6322622
liceo san felipe benicio/ coyhaique,-45.572558,-72.0676708
ingles de talca/ talca,-35.4311523,-71.6635134
san isidro/ buin,-33.7616305,-70.7463955
instituto sagrada familia/ punta arenas,-53.1583986,-70.9015065
the english institute/ providencia,-33.4402197,-70.6024636
inmaculada concepcion/ vitacura,-33.4024036,-70.5937694
escuela san sebastian/ colina,-33.2039956,-70.6790386
sun valley college/ calle larga,-32.8619952,-70.5847177
mariano/ providencia,,
polivalente almendral/ la pintana,-33.5966931,-70.6202728
de la salle/ la reina,-33.4455239,-70.5716755
atenas / la florida,-33.5454201,-70.5728774
liceo republica de siria/ ñuñoa,-33.4557403,-70.5750848
el sembrador/ puente alto,-33.6106788,-70.5774393
la abadia/ la reina,-33.4346125,-70.5435626
the grange school/ la reina,-33.4369478,-70.5678993
montessori/ talca,-35.4423214,-71.6831616
liceo lenka franulic/ ñuñoa,-33.4497325,-70.5724397
greenland school / estacion central,-33.4576034,-70.7240075
presidente jose manuel balmaceda/ san bernardo,-34.4009141,-70.8425449
aleman/ los angeles,-37.4723164,-72.3284103
colegio corazon de jesus/ quinta normal,-33.4264581,-70.7000465
los nogales / puente alto,-33.5724128,-70.5412287
alicante del valle/ pte alto,-33.5956176,-70.5471752
wolfgang amadeus mozart/collipulli,,
centro educ. prof. guillermo gonzalez heinric/ ñuñoa,,
san jose de chicureo/ colina,-33.2795024,-70.6377061
colegio american british college/ la florida,,
instituto miguel leon prado/ san miguel,-33.4884224,-70.6498444
instituto ingles de rancagua,-34.1775749,-70.7450902
coya / machali,-34.2046861,-70.5309812
john andrews adventist academy / la reina,-33.4512967,-70.5306544
liceo monsenor enrique alvear/ pudahuel,-33.4626912,-70.7524822
aleman/ punta arenas,-53.131172,-70.8902706
deutsche schule/ chillan,,
